構造別代號,用途類別代號,用途細類別代號,用途細類別名稱
P,1,1,國際觀光旅館
P,1,2,夜總會
P,1,3,舞廳
P,1,4,咖啡廳
P,1,5,酒家
P,1,6,歌廳
P,1,7,套房
P,1,8,電視台
P,2,20,旅館
P,2,21,百貨公司
P,2,22,餐廳
P,2,23,醫院
P,2,24,大型商場
P,2,25,影劇院
P,2,26,遊藝場所
P,2,27,超級市場
P,2,28,圖書館
P,2,29,美術館
P,2,30,博物館
P,2,31,紀念堂
P,2,32,廣播電台
P,3,33,納骨塔
P,3,40,市場
P,3,41,辦公廳（室）
P,3,42,店舖
P,3,43,診所
P,3,44,住宅
P,3,45,校舍
P,3,46,體育館
P,3,47,禮堂
P,3,48,寺廟
P,3,49,教堂
P,3,50,農舍
P,3,51,開放空間
P,3,52,游泳池
P,4,34,油槽
P,4,35,焚化爐
P,4,36,養殖場
P,4,60,工廠
P,4,61,倉庫
P,4,62,停車場
P,4,63,防空避難室
P,4,64,農業用房屋(減半)
P,4,67,農業用房屋
A,1,1,國際觀光旅館
A,1,2,夜總會
A,1,3,舞廳
A,1,4,咖啡廳
A,1,5,酒家
A,1,6,歌廳
A,1,7,套房
A,1,8,電視台
A,2,20,旅館
A,2,21,百貨公司
A,2,22,餐廳
A,2,23,醫院
A,2,24,大型商場
A,2,25,影劇院
A,2,26,遊藝場所
A,2,27,超級市場
A,2,28,圖書館
A,2,29,美術館
A,2,30,博物館
A,2,31,紀念堂
A,2,32,廣播電台
A,3,33,納骨塔
A,3,40,市場
A,3,41,辦公廳（室）
A,3,42,店舖
A,3,43,診所
A,3,44,住宅
A,3,45,校舍
A,3,46,體育館
A,3,47,禮堂
A,3,48,寺廟
A,3,49,教堂
A,3,50,農舍
A,3,51,開放空間
A,3,52,游泳池
A,4,34,油槽
A,4,35,焚化爐
A,4,36,養殖場
A,4,60,工廠
A,4,61,倉庫
A,4,62,停車場
A,4,63,防空避難室
A,4,64,農業用房屋(減半)
A,4,67,農業用房屋
S,1,1,國際觀光旅館
S,1,2,夜總會
S,1,3,舞廳
S,1,4,咖啡廳
S,1,5,酒家
S,1,6,歌廳
S,1,7,套房
S,1,8,電視台
S,2,20,旅館
S,2,21,百貨公司
S,2,22,餐廳
S,2,23,醫院
S,2,24,大型商場
S,2,25,影劇院
S,2,26,遊藝場所
S,2,27,超級市場
S,2,28,圖書館
S,2,29,美術館
S,2,30,博物館
S,2,31,紀念堂
S,2,32,廣播電台
S,3,33,納骨塔
S,3,40,市場
S,3,41,辦公廳（室）
S,3,42,店舖
S,3,43,診所
S,3,44,住宅
S,3,45,校舍
S,3,46,體育館
S,3,47,禮堂
S,3,48,寺廟
S,3,49,教堂
S,3,50,農舍
S,3,51,開放空間
S,3,52,游泳池
S,4,34,油槽
S,4,35,焚化爐
S,4,36,養殖場
S,4,60,工廠
S,4,61,倉庫
S,4,62,停車場
S,4,63,防空避難室
S,4,64,農業用房屋(減半)
S,4,67,農業用房屋
B,1,1,國際觀光旅館
B,1,2,夜總會
B,1,3,舞廳
B,1,4,咖啡廳
B,1,5,酒家
B,1,6,歌廳
B,1,7,套房
B,1,8,電視台
B,2,20,旅館
B,2,21,百貨公司
B,2,22,餐廳
B,2,23,醫院
B,2,24,大型商場
B,2,25,影劇院
B,2,26,遊藝場所
B,2,27,超級市場
B,2,28,圖書館
B,2,29,美術館
B,2,30,博物館
B,2,31,紀念堂
B,2,32,廣播電台
B,3,33,納骨塔
B,3,40,市場
B,3,41,辦公廳（室）
B,3,42,店舖
B,3,43,診所
B,3,44,住宅
B,3,45,校舍
B,3,46,體育館
B,3,47,禮堂
B,3,48,寺廟
B,3,49,教堂
B,3,50,農舍
B,3,51,開放空間
B,3,52,游泳池
B,4,34,油槽
B,4,35,焚化爐
B,4,36,養殖場
B,4,60,工廠
B,4,61,倉庫
B,4,62,停車場
B,4,63,防空避難室
B,4,64,農業用房屋(減半)
B,4,67,農業用房屋
T,1,1,國際觀光旅館
T,1,2,夜總會
T,1,3,舞廳
T,1,4,咖啡廳
T,1,5,酒家
T,1,6,歌廳
T,1,7,套房
T,1,8,電視台
T,2,20,旅館
T,2,21,百貨公司
T,2,22,餐廳
T,2,23,醫院
T,2,24,大型商場
T,2,25,影劇院
T,2,26,遊藝場所
T,2,27,超級市場
T,2,28,圖書館
T,2,29,美術館
T,2,30,博物館
T,2,31,紀念堂
T,2,32,廣播電台
T,3,33,納骨塔
T,3,40,市場
T,3,41,辦公廳（室）
T,3,42,店舖
T,3,43,診所
T,3,44,住宅
T,3,45,校舍
T,3,46,體育館
T,3,47,禮堂
T,3,48,寺廟
T,3,49,教堂
T,3,50,農舍
T,3,51,開放空間
T,3,52,游泳池
T,4,34,油槽
T,4,35,焚化爐
T,4,36,養殖場
T,4,60,工廠
T,4,61,倉庫
T,4,62,停車場
T,4,63,防空避難室
T,4,64,農業用房屋(減半)
T,4,67,農業用房屋
C,1,20,旅館
C,1,22,餐廳
C,1,26,遊藝場所
C,2,21,百貨公司
C,2,23,醫院
C,2,24,大型商場
C,2,25,影劇院
C,2,27,超級市場
C,2,28,圖書館
C,2,29,美術館
C,2,30,博物館
C,2,31,紀念堂
C,2,32,廣播電台
C,3,33,納骨塔
C,3,40,市場
C,3,41,辦公廳（室）
C,3,42,店舖
C,3,43,診所
C,3,44,住宅
C,3,45,校舍
C,3,46,體育館
C,3,47,禮堂
C,3,48,寺廟
C,3,49,教堂
C,3,50,農舍
C,3,51,開放空間
C,3,52,游泳池
C,4,34,油槽
C,4,35,焚化爐
C,4,36,養殖場
C,4,60,工廠
C,4,61,倉庫
C,4,62,停車場
C,4,63,防空避難室
C,4,64,農業用房屋(減半)
C,4,67,農業用房屋
U,5,1,國際觀光旅館
U,5,2,夜總會
U,5,3,舞廳
U,5,4,咖啡廳
U,5,5,酒家
U,5,6,歌廳
U,5,7,套房
U,5,8,電視台
U,5,20,旅館
U,5,21,百貨公司
U,5,22,餐廳
U,5,23,醫院
U,5,24,大型商場
U,5,25,影劇院
U,5,26,遊藝場所
U,5,27,超級市場
U,5,28,圖書館
U,5,29,美術館
U,5,30,博物館
U,5,31,紀念堂
U,5,32,廣播電台
U,5,33,納骨塔
U,5,40,市場
U,5,41,辦公廳（室）
U,5,42,店舖
U,5,43,診所
U,5,44,住宅
U,5,45,校舍
U,5,46,體育館
U,5,47,禮堂
U,5,48,寺廟
U,5,49,教堂
U,5,50,農舍
U,5,51,開放空間
U,5,52,游泳池
U,5,34,油槽
U,5,35,焚化爐
U,5,36,養殖場
U,5,60,工廠
U,5,61,倉庫
U,5,62,停車場
U,5,63,防空避難室
U,5,64,農業用房屋(減半)
U,5,67,農業用房屋
J,5,1,國際觀光旅館
J,5,2,夜總會
J,5,3,舞廳
J,5,4,咖啡廳
J,5,5,酒家
J,5,6,歌廳
J,5,7,套房
J,5,8,電視台
J,5,20,旅館
J,5,21,百貨公司
J,5,22,餐廳
J,5,23,醫院
J,5,24,大型商場
J,5,25,影劇院
J,5,26,遊藝場所
J,5,27,超級市場
J,5,28,圖書館
J,5,29,美術館
J,5,30,博物館
J,5,31,紀念堂
J,5,32,廣播電台
J,5,33,納骨塔
J,5,40,市場
J,5,41,辦公廳（室）
J,5,42,店舖
J,5,43,診所
J,5,44,住宅
J,5,45,校舍
J,5,46,體育館
J,5,47,禮堂
J,5,48,寺廟
J,5,49,教堂
J,5,50,農舍
J,5,51,開放空間
J,5,52,游泳池
J,5,34,油槽
J,5,35,焚化爐
J,5,36,養殖場
J,5,60,工廠
J,5,61,倉庫
J,5,62,停車場
J,5,63,防空避難室
J,5,64,農業用房屋(減半)
J,5,67,農業用房屋
F,5,1,國際觀光旅館
F,5,2,夜總會
F,5,3,舞廳
F,5,4,咖啡廳
F,5,5,酒家
F,5,6,歌廳
F,5,7,套房
F,5,8,電視台
F,5,20,旅館
F,5,21,百貨公司
F,5,22,餐廳
F,5,23,醫院
F,5,24,大型商場
F,5,25,影劇院
F,5,26,遊藝場所
F,5,27,超級市場
F,5,28,圖書館
F,5,29,美術館
F,5,30,博物館
F,5,31,紀念堂
F,5,32,廣播電台
F,5,33,納骨塔
F,5,40,市場
F,5,41,辦公廳（室）
F,5,42,店舖
F,5,43,診所
F,5,44,住宅
F,5,45,校舍
F,5,46,體育館
F,5,47,禮堂
F,5,48,寺廟
F,5,49,教堂
F,5,50,農舍
F,5,51,開放空間
F,5,52,游泳池
F,5,34,油槽
F,5,35,焚化爐
F,5,36,養殖場
F,5,60,工廠
F,5,61,倉庫
F,5,62,停車場
F,5,63,防空避難室
F,5,64,農業用房屋(減半)
F,5,67,農業用房屋
E,5,1,國際觀光旅館
E,5,2,夜總會
E,5,3,舞廳
E,5,4,咖啡廳
E,5,5,酒家
E,5,6,歌廳
E,5,7,套房
E,5,8,電視台
E,5,20,旅館
E,5,21,百貨公司
E,5,22,餐廳
E,5,23,醫院
E,5,24,大型商場
E,5,25,影劇院
E,5,26,遊藝場所
E,5,27,超級市場
E,5,28,圖書館
E,5,29,美術館
E,5,30,博物館
E,5,31,紀念堂
E,5,32,廣播電台
E,5,33,納骨塔
E,5,40,市場
E,5,41,辦公廳（室）
E,5,42,店舖
E,5,43,診所
E,5,44,住宅
E,5,45,校舍
E,5,46,體育館
E,5,47,禮堂
E,5,48,寺廟
E,5,49,教堂
E,5,50,農舍
E,5,51,開放空間
E,5,52,游泳池
E,5,34,油槽
E,5,35,焚化爐
E,5,36,養殖場
E,5,60,工廠
E,5,61,倉庫
E,5,62,停車場
E,5,63,防空避難室
E,5,64,農業用房屋(減半)
E,5,67,農業用房屋
D,5,1,國際觀光旅館
D,5,2,夜總會
D,5,3,舞廳
D,5,4,咖啡廳
D,5,5,酒家
D,5,6,歌廳
D,5,7,套房
D,5,8,電視台
D,5,20,旅館
D,5,21,百貨公司
D,5,22,餐廳
D,5,23,醫院
D,5,24,大型商場
D,5,25,影劇院
D,5,26,遊藝場所
D,5,27,超級市場
D,5,28,圖書館
D,5,29,美術館
D,5,30,博物館
D,5,31,紀念堂
D,5,32,廣播電台
D,5,33,納骨塔
D,5,40,市場
D,5,41,辦公廳（室）
D,5,42,店舖
D,5,43,診所
D,5,44,住宅
D,5,45,校舍
D,5,46,體育館
D,5,47,禮堂
D,5,48,寺廟
D,5,49,教堂
D,5,50,農舍
D,5,51,開放空間
D,5,52,游泳池
D,5,34,油槽
D,5,35,焚化爐
D,5,36,養殖場
D,5,60,工廠
D,5,61,倉庫
D,5,62,停車場
D,5,63,防空避難室
D,5,64,農業用房屋(減半)
D,5,67,農業用房屋
H,5,1,國際觀光旅館
H,5,2,夜總會
H,5,3,舞廳
H,5,4,咖啡廳
H,5,5,酒家
H,5,6,歌廳
H,5,7,套房
H,5,8,電視台
H,5,20,旅館
H,5,21,百貨公司
H,5,22,餐廳
H,5,23,醫院
H,5,24,大型商場
H,5,25,影劇院
H,5,26,遊藝場所
H,5,27,超級市場
H,5,28,圖書館
H,5,29,美術館
H,5,30,博物館
H,5,31,紀念堂
H,5,32,廣播電台
H,5,33,納骨塔
H,5,40,市場
H,5,41,辦公廳（室）
H,5,42,店舖
H,5,43,診所
H,5,44,住宅
H,5,45,校舍
H,5,46,體育館
H,5,47,禮堂
H,5,48,寺廟
H,5,49,教堂
H,5,50,農舍
H,5,51,開放空間
H,5,52,游泳池
H,5,34,油槽
H,5,35,焚化爐
H,5,36,養殖場
H,5,60,工廠
H,5,61,倉庫
H,5,62,停車場
H,5,63,防空避難室
H,5,64,農業用房屋(減半)
H,5,67,農業用房屋
G,5,1,國際觀光旅館
G,5,2,夜總會
G,5,3,舞廳
G,5,4,咖啡廳
G,5,5,酒家
G,5,6,歌廳
G,5,7,套房
G,5,8,電視台
G,5,20,旅館
G,5,21,百貨公司
G,5,22,餐廳
G,5,23,醫院
G,5,24,大型商場
G,5,25,影劇院
G,5,26,遊藝場所
G,5,27,超級市場
G,5,28,圖書館
G,5,29,美術館
G,5,30,博物館
G,5,31,紀念堂
G,5,32,廣播電台
G,5,33,納骨塔
G,5,40,市場
G,5,41,辦公廳（室）
G,5,42,店舖
G,5,43,診所
G,5,44,住宅
G,5,45,校舍
G,5,46,體育館
G,5,47,禮堂
G,5,48,寺廟
G,5,49,教堂
G,5,50,農舍
G,5,51,開放空間
G,5,52,游泳池
G,5,34,油槽
G,5,35,焚化爐
G,5,36,養殖場
G,5,60,工廠
G,5,61,倉庫
G,5,62,停車場
G,5,63,防空避難室
G,5,64,農業用房屋(減半)
G,5,67,農業用房屋
K,5,1,國際觀光旅館
K,5,2,夜總會
K,5,3,舞廳
K,5,4,咖啡廳
K,5,5,酒家
K,5,6,歌廳
K,5,7,套房
K,5,8,電視台
K,5,20,旅館
K,5,21,百貨公司
K,5,22,餐廳
K,5,23,醫院
K,5,24,大型商場
K,5,25,影劇院
K,5,26,遊藝場所
K,5,27,超級市場
K,5,28,圖書館
K,5,29,美術館
K,5,30,博物館
K,5,31,紀念堂
K,5,32,廣播電台
K,5,33,納骨塔
K,5,40,市場
K,5,41,辦公廳（室）
K,5,42,店舖
K,5,43,診所
K,5,44,住宅
K,5,45,校舍
K,5,46,體育館
K,5,47,禮堂
K,5,48,寺廟
K,5,49,教堂
K,5,50,農舍
K,5,51,開放空間
K,5,52,游泳池
K,5,34,油槽
K,5,35,焚化爐
K,5,36,養殖場
K,5,60,工廠
K,5,61,倉庫
K,5,62,停車場
K,5,63,防空避難室
K,5,64,農業用房屋(減半)
K,5,67,農業用房屋
L,5,1,國際觀光旅館
L,5,2,夜總會
L,5,3,舞廳
L,5,4,咖啡廳
L,5,5,酒家
L,5,6,歌廳
L,5,7,套房
L,5,8,電視台
L,5,20,旅館
L,5,21,百貨公司
L,5,22,餐廳
L,5,23,醫院
L,5,24,大型商場
L,5,25,影劇院
L,5,26,遊藝場所
L,5,27,超級市場
L,5,28,圖書館
L,5,29,美術館
L,5,30,博物館
L,5,31,紀念堂
L,5,32,廣播電台
L,5,33,納骨塔
L,5,40,市場
L,5,41,辦公廳（室）
L,5,42,店舖
L,5,43,診所
L,5,44,住宅
L,5,45,校舍
L,5,46,體育館
L,5,47,禮堂
L,5,48,寺廟
L,5,49,教堂
L,5,50,農舍
L,5,51,開放空間
L,5,52,游泳池
L,5,34,油槽
L,5,35,焚化爐
L,5,36,養殖場
L,5,60,工廠
L,5,61,倉庫
L,5,62,停車場
L,5,63,防空避難室
L,5,64,農業用房屋(減半)
L,5,67,農業用房屋
