構造別代號,房屋用途類別代號,總層數,房屋標準單價
A,1,1,3740
A,1,2,3840
A,1,3,3940
A,1,4,4040
A,1,5,4140
A,1,6,4290
A,1,7,4540
A,1,8,4790
A,1,9,5040
A,1,10,5290
A,1,11,5540
A,1,12,5790
A,1,13,6040
A,1,14,6290
A,1,15,6540
A,1,16,6740
A,1,17,6940
A,1,18,7140
A,1,19,7340
A,1,20,7540
A,1,21,7740
A,1,22,7940
A,1,23,8140
A,1,24,8340
A,1,25,8540
A,1,26,8740
A,1,27,8940
A,1,28,9140
A,1,29,9340
A,1,30,9540
A,1,31,9740
A,1,32,9940
A,1,33,10140
A,1,34,10340
A,1,35,10540
A,1,36,10740
A,1,37,10940
A,1,38,11140
A,1,39,11340
A,1,40,11540
A,2,1,3440
A,2,2,3540
A,2,3,3640
A,2,4,3740
A,2,5,3840
A,2,6,3990
A,2,7,4240
A,2,8,4490
A,2,9,4740
A,2,10,4990
A,2,11,5240
A,2,12,5490
A,2,13,5740
A,2,14,5990
A,2,15,6240
A,2,16,6440
A,2,17,6640
A,2,18,6840
A,2,19,7040
A,2,20,7240
A,2,21,7440
A,2,22,7640
A,2,23,7840
A,2,24,8040
A,2,25,8240
A,2,26,8440
A,2,27,8640
A,2,28,8840
A,2,29,9040
A,2,30,9240
A,2,31,9440
A,2,32,9640
A,2,33,9840
A,2,34,10040
A,2,35,10240
A,2,36,10440
A,2,37,10640
A,2,38,10840
A,2,39,11040
A,2,40,11240
A,3,1,2750
A,3,2,2850
A,3,3,2950
A,3,4,3050
A,3,5,3150
A,3,6,3300
A,3,7,3550
A,3,8,3800
A,3,9,4050
A,3,10,4300
A,3,11,4550
A,3,12,4800
A,3,13,5050
A,3,14,5300
A,3,15,5550
A,3,16,5750
A,3,17,5950
A,3,18,6150
A,3,19,6350
A,3,20,6550
A,3,21,6750
A,3,22,6950
A,3,23,7150
A,3,24,7350
A,3,25,7550
A,3,26,7750
A,3,27,7950
A,3,28,8150
A,3,29,8350
A,3,30,8550
A,3,31,8750
A,3,32,8950
A,3,33,9150
A,3,34,9350
A,3,35,9550
A,3,36,9750
A,3,37,9950
A,3,38,10150
A,3,39,10350
A,3,40,10550
A,4,1,2090
A,4,2,2190
A,4,3,2290
A,4,4,2390
A,4,5,2490
A,4,6,2640
A,4,7,2890
A,4,8,3140
A,4,9,3390
A,4,10,3640
A,4,11,3890
A,4,12,4140
A,4,13,4390
A,4,14,4640
A,4,15,4890
A,4,16,5090
A,4,17,5290
A,4,18,5490
A,4,19,5690
A,4,20,5890
A,4,21,6090
A,4,22,6290
A,4,23,6490
A,4,24,6690
A,4,25,6890
A,4,26,7090
A,4,27,7290
A,4,28,7490
A,4,29,7690
A,4,30,7890
A,4,31,8090
A,4,32,8290
A,4,33,8490
A,4,34,8690
A,4,35,8890
A,4,36,9090
A,4,37,9290
A,4,38,9490
A,4,39,9690
A,4,40,9890
B,1,1,2960
B,1,2,3060
B,1,3,3160
B,1,4,3260
B,1,5,3360
B,1,6,3510
B,1,7,3760
B,1,8,4010
B,1,9,4260
B,1,10,4510
B,1,11,4760
B,1,12,5010
B,1,13,5260
B,1,14,5510
B,1,15,5760
B,1,16,5960
B,1,17,6160
B,1,18,6360
B,1,19,6560
B,1,20,6760
B,1,21,6960
B,1,22,7160
B,1,23,7360
B,1,24,7560
B,1,25,7760
B,1,26,7960
B,1,27,8160
B,1,28,8360
B,1,29,8560
B,1,30,8760
B,1,31,8960
B,1,32,9160
B,1,33,9360
B,1,34,9560
B,1,35,9760
B,1,36,9960
B,2,1,2660
B,2,2,2760
B,2,3,2860
B,2,4,2960
B,2,5,3060
B,2,6,3210
B,2,7,3460
B,2,8,3710
B,2,9,3960
B,2,10,4210
B,2,11,4460
B,2,12,4710
B,2,13,4960
B,2,14,5210
B,2,15,5460
B,2,16,5660
B,2,17,5860
B,2,18,6060
B,2,19,6260
B,2,20,6460
B,2,21,6660
B,2,22,6860
B,2,23,7060
B,2,24,7260
B,2,25,7460
B,2,26,7660
B,2,27,7860
B,2,28,8060
B,2,29,8260
B,2,30,8460
B,2,31,8660
B,2,32,8860
B,2,33,9060
B,2,34,9260
B,2,35,9460
B,2,36,9660
B,3,1,2400
B,3,2,2500
B,3,3,2600
B,3,4,2700
B,3,5,2800
B,3,6,2950
B,3,7,3200
B,3,8,3450
B,3,9,3700
B,3,10,3950
B,3,11,4200
B,3,12,4450
B,3,13,4700
B,3,14,4950
B,3,15,5200
B,3,16,5400
B,3,17,5600
B,3,18,5800
B,3,19,6000
B,3,20,6200
B,3,21,6400
B,3,22,6600
B,3,23,6800
B,3,24,7000
B,3,25,7200
B,3,26,7400
B,3,27,7600
B,3,28,7800
B,3,29,8000
B,3,30,8200
B,3,31,8400
B,3,32,8600
B,3,33,8800
B,3,34,9000
B,3,35,9200
B,3,36,9400
B,4,1,1840
B,4,2,1940
B,4,3,2040
B,4,4,2140
B,4,5,2240
B,4,6,2390
B,4,7,2640
B,4,8,2890
B,4,9,3140
B,4,10,3390
B,4,11,3640
B,4,12,3890
B,4,13,4140
B,4,14,4390
B,4,15,4640
B,4,16,4840
B,4,17,5040
B,4,18,5240
B,4,19,5440
B,4,20,5640
B,4,21,5840
B,4,22,6040
B,4,23,6240
B,4,24,6440
B,4,25,6640
B,4,26,6840
B,4,27,7040
B,4,28,7240
B,4,29,7440
B,4,30,7640
B,4,31,7840
B,4,32,8040
B,4,33,8240
B,4,34,8440
B,4,35,8640
B,4,36,8840
C,1,1,2440
C,1,2,2540
C,1,3,2640
C,1,4,2740
C,1,5,2840
C,1,6,2940
C,2,1,2140
C,2,2,2240
C,2,3,2340
C,2,4,2440
C,2,5,2540
C,2,6,2640
C,3,1,2000
C,3,2,2100
C,3,3,2200
C,3,4,2300
C,3,5,2400
C,3,6,2500
C,4,1,1560
C,4,2,1660
C,4,3,1760
C,4,4,1860
C,4,5,1960
C,4,6,2060
D,1,1,1000
D,1,2,1100
D,1,3,1200
D,1,4,1300
D,1,5,1400
D,2,1,1000
D,2,2,1100
D,2,3,1200
D,2,4,1300
D,2,5,1400
D,3,1,1000
D,3,2,1100
D,3,3,1200
D,3,4,1300
D,3,5,1400
D,4,1,1000
D,4,2,1100
D,4,3,1200
D,4,4,1300
D,4,5,1400
D,5,1,1000
D,5,2,1100
D,5,3,1200
D,5,4,1300
D,5,5,1400
E,1,1,1000
E,1,2,1100
E,1,3,1200
E,1,4,1300
E,1,5,1400
E,2,1,1000
E,2,2,1100
E,2,3,1200
E,2,4,1300
E,2,5,1400
E,3,1,1000
E,3,2,1100
E,3,3,1200
E,3,4,1300
E,3,5,1400
E,4,1,1000
E,4,2,1100
E,4,3,1200
E,4,4,1300
E,4,5,1400
E,5,1,1000
E,5,2,1100
E,5,3,1200
E,5,4,1300
E,5,5,1400
F,1,1,1000
F,1,2,1100
F,1,3,1200
F,1,4,1300
F,1,5,1400
F,2,1,1000
F,2,2,1100
F,2,3,1200
F,2,4,1300
F,2,5,1400
F,3,1,1000
F,3,2,1100
F,3,3,1200
F,3,4,1300
F,3,5,1400
F,4,1,1000
F,4,2,1100
F,4,3,1200
F,4,4,1300
F,4,5,1400
F,5,1,1000
F,5,2,1100
F,5,3,1200
F,5,4,1300
F,5,5,1400
G,1,1,1000
G,1,2,1100
G,1,3,1200
G,1,4,1300
G,1,5,1400
G,2,1,1000
G,2,2,1100
G,2,3,1200
G,2,4,1300
G,2,5,1400
G,3,1,1000
G,3,2,1100
G,3,3,1200
G,3,4,1300
G,3,5,1400
G,4,1,1000
G,4,2,1100
G,4,3,1200
G,4,4,1300
G,4,5,1400
G,5,1,1000
G,5,2,1100
G,5,3,1200
G,5,4,1300
G,5,5,1400
H,1,1,1000
H,1,2,1100
H,1,3,1200
H,1,4,1300
H,1,5,1400
H,2,1,1000
H,2,2,1100
H,2,3,1200
H,2,4,1300
H,2,5,1400
H,3,1,1000
H,3,2,1100
H,3,3,1200
H,3,4,1300
H,3,5,1400
H,4,1,1000
H,4,2,1100
H,4,3,1200
H,4,4,1300
H,4,5,1400
H,5,1,1000
H,5,2,1100
H,5,3,1200
H,5,4,1300
H,5,5,1400
J,1,1,700
J,1,2,800
J,1,3,900
J,1,4,1000
J,1,5,1100
J,2,1,700
J,2,2,800
J,2,3,900
J,2,4,1000
J,2,5,1100
J,3,1,700
J,3,2,800
J,3,3,900
J,3,4,1000
J,3,5,1100
J,4,1,700
J,4,2,800
J,4,3,900
J,4,4,1000
J,4,5,1100
J,5,1,700
J,5,2,800
J,5,3,900
J,5,4,1000
J,5,5,1100
K,1,1,500
K,1,2,600
K,1,3,700
K,1,4,800
K,2,1,500
K,2,2,600
K,2,3,700
K,2,4,800
K,3,1,500
K,3,2,600
K,3,3,700
K,3,4,800
K,4,1,500
K,4,2,600
K,4,3,700
K,4,4,800
K,5,1,500
K,5,2,600
K,5,3,700
K,5,4,800
L,1,1,500
L,1,2,600
L,1,3,700
L,1,4,800
L,2,1,500
L,2,2,600
L,2,3,700
L,2,4,800
L,3,1,500
L,3,2,600
L,3,3,700
L,3,4,800
L,4,1,500
L,4,2,600
L,4,3,700
L,4,4,800
L,5,1,500
L,5,2,600
L,5,3,700
L,5,4,800
P,1,1,3740
P,1,2,3840
P,1,3,3940
P,1,4,4040
P,1,5,4140
P,1,6,4290
P,1,7,4540
P,1,8,4790
P,1,9,5040
P,1,10,5290
P,1,11,5540
P,1,12,5790
P,1,13,6040
P,1,14,6290
P,1,15,6540
P,1,16,6740
P,1,17,6940
P,1,18,7140
P,1,19,7340
P,1,20,7540
P,1,21,7740
P,1,22,7940
P,1,23,8140
P,1,24,8340
P,1,25,8540
P,1,26,8740
P,1,27,8940
P,1,28,9140
P,1,29,9340
P,1,30,9540
P,1,31,9650
P,1,31,9740
P,1,32,9940
P,1,33,10140
P,1,34,10340
P,1,35,10540
P,1,36,10740
P,1,37,10940
P,1,38,11140
P,1,39,11340
P,1,40,11540
P,2,1,3440
P,2,2,3540
P,2,3,3640
P,2,4,3740
P,2,5,3840
P,2,6,3990
P,2,7,4240
P,2,8,4490
P,2,9,4740
P,2,10,4990
P,2,11,5240
P,2,12,5490
P,2,13,5740
P,2,14,5990
P,2,15,6240
P,2,16,6440
P,2,17,6640
P,2,18,6840
P,2,19,7040
P,2,20,7240
P,2,21,7440
P,2,22,7640
P,2,23,7840
P,2,24,8040
P,2,25,8240
P,2,26,8440
P,2,27,8640
P,2,28,8840
P,2,29,9040
P,2,30,9240
P,2,31,9440
P,2,32,9640
P,2,33,9840
P,2,34,10040
P,2,35,10240
P,2,36,10440
P,2,37,10640
P,2,38,10840
P,2,39,11040
P,2,40,11240
P,3,1,2750
P,3,2,2850
P,3,3,2950
P,3,4,3050
P,3,5,3150
P,3,6,3300
P,3,7,3550
P,3,8,3800
P,3,9,4050
P,3,10,4300
P,3,11,4550
P,3,12,4800
P,3,13,5050
P,3,14,5300
P,3,15,5550
P,3,16,5750
P,3,17,5950
P,3,18,6150
P,3,19,6350
P,3,20,6550
P,3,21,6750
P,3,22,6950
P,3,23,7150
P,3,24,7350
P,3,25,7550
P,3,26,7750
P,3,27,7950
P,3,28,8150
P,3,29,8350
P,3,30,8550
P,3,31,8750
P,3,32,8950
P,3,33,9150
P,3,34,9350
P,3,35,9550
P,3,36,9750
P,3,37,9950
P,3,38,10150
P,3,39,10350
P,3,40,10550
P,4,1,2090
P,4,2,2190
P,4,3,2290
P,4,4,2390
P,4,5,2490
P,4,6,2640
P,4,7,2890
P,4,8,3140
P,4,9,3390
P,4,10,3640
P,4,11,3890
P,4,12,4140
P,4,13,4390
P,4,14,4640
P,4,15,4890
P,4,16,5090
P,4,17,5290
P,4,18,5490
P,4,19,5690
P,4,20,5890
P,4,21,6090
P,4,22,6290
P,4,23,6490
P,4,24,6690
P,4,25,6890
P,4,26,7090
P,4,27,7290
P,4,28,7490
P,4,29,7690
P,4,30,7890
P,4,31,8090
P,4,32,8290
P,4,33,8490
P,4,34,8690
P,4,35,8890
P,4,36,9090
P,4,37,9290
P,4,38,9490
P,4,39,9690
P,4,40,9890
R,1,1,500
R,1,2,600
R,1,3,700
R,1,4,800
R,2,1,500
R,2,2,600
R,2,3,700
R,2,4,800
R,3,1,500
R,3,2,600
R,3,3,700
R,3,4,800
R,4,1,500
R,4,2,600
R,4,3,700
R,4,4,800
R,5,1,500
R,5,2,600
R,5,3,700
R,5,4,800
S,1,1,3740
S,1,2,3840
S,1,3,3940
S,1,4,4040
S,1,5,4140
S,1,6,4290
S,1,7,4540
S,1,8,4790
S,1,9,5040
S,1,10,5290
S,1,11,5540
S,1,12,5790
S,1,13,6040
S,1,14,6290
S,1,15,6540
S,1,16,6740
S,1,17,6940
S,1,18,7140
S,1,19,7340
S,1,20,7540
S,1,21,7740
S,1,22,7940
S,1,23,8140
S,1,24,8340
S,1,25,8540
S,1,26,8740
S,1,27,8940
S,1,28,9140
S,1,29,9340
S,1,30,9540
S,1,31,9740
S,1,32,9940
S,1,33,10140
S,1,34,10340
S,1,35,10540
S,1,36,10740
S,1,37,10940
S,1,38,11140
S,1,39,11340
S,1,40,11540
S,1,41,11740
S,2,1,3440
S,2,2,3540
S,2,3,3640
S,2,4,3740
S,2,5,3840
S,2,6,3990
S,2,7,4240
S,2,8,4490
S,2,9,4740
S,2,10,4990
S,2,11,5240
S,2,12,5490
S,2,13,5740
S,2,14,5990
S,2,15,6240
S,2,16,6440
S,2,17,6640
S,2,18,6840
S,2,19,7040
S,2,20,7240
S,2,21,7440
S,2,22,7640
S,2,23,7840
S,2,24,8040
S,2,25,8240
S,2,26,8440
S,2,27,8640
S,2,28,8840
S,2,29,9040
S,2,30,9240
S,2,31,9440
S,2,32,9640
S,2,33,9840
S,2,34,10040
S,2,35,10240
S,2,36,10440
S,2,37,10640
S,2,38,10840
S,2,39,11040
S,2,40,11240
S,2,41,11440
S,3,1,2750
S,3,2,2850
S,3,3,2950
S,3,4,3050
S,3,5,3150
S,3,6,3300
S,3,7,3550
S,3,8,3800
S,3,9,4050
S,3,10,4300
S,3,11,4550
S,3,12,4800
S,3,13,5050
S,3,14,5300
S,3,15,5550
S,3,16,5750
S,3,17,5950
S,3,18,6150
S,3,19,6350
S,3,20,6550
S,3,21,6750
S,3,22,6950
S,3,23,7150
S,3,24,7350
S,3,25,7550
S,3,26,7750
S,3,27,7950
S,3,28,8150
S,3,29,8350
S,3,30,8550
S,3,31,8750
S,3,32,8950
S,3,33,9150
S,3,34,9350
S,3,35,9550
S,3,36,9750
S,3,37,9950
S,3,38,10150
S,3,39,10350
S,3,40,10550
S,3,41,10750
S,4,1,2090
S,4,2,2190
S,4,3,2290
S,4,4,2390
S,4,5,2490
S,4,6,2640
S,4,7,2890
S,4,8,3140
S,4,9,3390
S,4,10,3640
S,4,11,3890
S,4,12,4140
S,4,13,4390
S,4,14,4640
S,4,15,4890
S,4,16,5090
S,4,17,5290
S,4,18,5490
S,4,19,5690
S,4,20,5890
S,4,21,6090
S,4,22,6290
S,4,23,6490
S,4,24,6690
S,4,25,6890
S,4,26,7090
S,4,27,7290
S,4,28,7490
S,4,29,7690
S,4,30,7890
S,4,31,8090
S,4,32,8290
S,4,33,8490
S,4,34,8690
S,4,35,8890
S,4,36,9090
S,4,37,9290
S,4,38,9490
S,4,39,9690
S,4,40,9890
S,4,41,10090
T,1,1,2960
T,1,2,3060
T,1,3,3160
T,1,4,3260
T,1,5,3360
T,1,6,3510
T,1,7,3760
T,1,8,4010
T,1,9,4260
T,1,10,4510
T,1,11,4760
T,1,12,5010
T,1,13,5260
T,1,14,5510
T,1,15,5760
T,1,16,5960
T,1,17,6160
T,1,18,6360
T,1,19,6560
T,1,20,6760
T,1,21,6960
T,1,22,7160
T,1,23,7360
T,1,24,7560
T,1,25,7760
T,1,26,7960
T,1,27,8160
T,1,28,8360
T,1,29,8560
T,1,30,8760
T,1,31,8960
T,1,32,9160
T,1,33,9360
T,1,34,9560
T,1,35,9760
T,1,36,9960
T,2,1,2660
T,2,2,2760
T,2,3,2860
T,2,4,2960
T,2,5,3060
T,2,6,3210
T,2,7,3460
T,2,8,3710
T,2,9,3960
T,2,10,4210
T,2,11,4460
T,2,12,4710
T,2,13,4960
T,2,14,5210
T,2,15,5460
T,2,16,5660
T,2,17,5860
T,2,18,6060
T,2,19,6260
T,2,20,6460
T,2,21,6660
T,2,22,6860
T,2,23,7060
T,2,24,7260
T,2,25,7460
T,2,26,7660
T,2,27,7860
T,2,28,8060
T,2,29,8260
T,2,30,8460
T,2,31,8660
T,2,32,8860
T,2,33,9060
T,2,34,9260
T,2,35,9460
T,2,36,9660
T,3,1,2400
T,3,2,2500
T,3,3,2600
T,3,4,2700
T,3,5,2800
T,3,6,2950
T,3,7,3200
T,3,8,3450
T,3,9,3700
T,3,10,3950
T,3,11,4200
T,3,12,4450
T,3,13,4700
T,3,14,4950
T,3,15,5200
T,3,16,5400
T,3,17,5600
T,3,18,5800
T,3,19,6000
T,3,20,6200
T,3,21,6400
T,3,22,6600
T,3,23,6800
T,3,24,7000
T,3,25,7200
T,3,26,7400
T,3,27,7600
T,3,28,7800
T,3,29,8000
T,3,30,8200
T,3,31,8400
T,3,32,8600
T,3,33,8800
T,3,34,9000
T,3,35,9200
T,3,36,9400
T,4,1,1840
T,4,2,1940
T,4,3,2040
T,4,4,2140
T,4,5,2240
T,4,6,2390
T,4,7,2640
T,4,8,2890
T,4,9,3140
T,4,10,3390
T,4,11,3640
T,4,12,3890
T,4,13,4140
T,4,14,4390
T,4,15,4640
T,4,16,4840
T,4,17,5040
T,4,18,5240
T,4,19,5440
T,4,20,5640
T,4,21,5840
T,4,22,6040
T,4,23,6240
T,4,24,6440
T,4,25,6640
T,4,26,6840
T,4,27,7040
T,4,28,7240
T,4,29,7440
T,4,30,7640
T,4,31,7840
T,4,32,8040
T,4,33,8240
T,4,34,8440
T,4,35,8640
T,4,36,8840
U,1,1,2100
U,1,2,2200
U,1,3,2300
U,1,4,2400
U,1,5,2500
U,2,1,2100
U,2,2,2200
U,2,3,2300
U,2,4,2400
U,2,5,2500
U,3,1,2100
U,3,2,2200
U,3,3,2300
U,3,4,2400
U,3,5,2500
U,4,1,2100
U,4,2,2200
U,4,3,2300
U,4,4,2400
U,4,5,2500
U,5,1,2100
U,5,2,2200
U,5,3,2300
U,5,4,2400
U,5,5,2500
U,5,6,2600
U,5,7,2700
U,5,8,2800
U,5,9,2900
U,5,10,3000
